epoch	Hem	roi	weight	noise	weight_sum	BF	component	participant_id	cluster
plan	R	PMd	0.024635188	2.447164577	0.033955306	0.177190594	expectation	113	premotor-parietal
plan	R	PMd	0.013378283	1.271666672	0.052054381	2.532681467	expectation	114	premotor-parietal
plan	R	PMd	0.01105998	0.766205407	0.01105998	6.060085294	expectation	115	premotor-parietal
plan	R	PMd	0.021578378	1.427970529	0.021578378	2.825423876	uncertainty	102	premotor-parietal
plan	R	PMd	0.025347027	1.33501989	0.03940996	9.944022153	uncertainty	103	premotor-parietal
plan	R	PMd	0.018447176	1.091815778	0.029916592	8.105900551	uncertainty	104	premotor-parietal
plan	R	PMd	0.014166427	0.61820153	0.022987875	11.31004638	uncertainty	105	premotor-parietal
plan	R	PMd	0.012323766	1.015878707	0.018402594	3.704431987	uncertainty	106	premotor-parietal
plan	R	PMd	0.00537225	1.067788896	0.027198233	-0.12723154	uncertainty	107	premotor-parietal
plan	R	PMd	0.008285924	1.136738816	0.018978765	0.315556501	uncertainty	108	premotor-parietal
plan	R	PMd	0.052795283	1.669116136	0.069141641	12.95971812	uncertainty	109	premotor-parietal
plan	R	PMd	0.004944123	1.612646099	0.007096677	-0.718234888	uncertainty	110	premotor-parietal
plan	R	PMd	0.006367889	0.960415641	0.014049516	0.64758995	uncertainty	111	premotor-parietal
plan	R	PMd	0.040406976	1.620016102	0.063302246	17.74298844	uncertainty	112	premotor-parietal
plan	R	PMd	0.009320118	2.447164577	0.033955306	-0.840720556	uncertainty	113	premotor-parietal
plan	R	PMd	0.038676098	1.271666672	0.052054381	25.21535926	uncertainty	114	premotor-parietal
plan	R	PMd	1.48E-15	0.766205407	0.01105998	-1	uncertainty	115	premotor-parietal
plan	R	PMv	6.61E-09	1.450834268	0.009128107	-1.000000502	expectation	102	premotor-parietal
plan	R	PMv	3.46E-142	1.159492615	1.27E-12	-1	expectation	103	premotor-parietal
plan	R	PMv	0.016289544	1.097384315	0.040261959	1.424980651	expectation	104	premotor-parietal
plan	R	PMv	0.003803773	0.65773372	0.010581335	-0.591090022	expectation	105	premotor-parietal
plan	R	PMv	0.010250181	0.870924429	0.011433787	0.677184151	expectation	106	premotor-parietal
plan	R	PMv	0.016247972	1.132554817	0.016247972	1.45085118	expectation	107	premotor-parietal
plan	R	PMv	0.011316599	0.973899968	0.011316599	0.342523315	expectation	108	premotor-parietal
plan	R	PMv	0.0313593	1.262548291	0.033568505	2.481255973	expectation	109	premotor-parietal
plan	R	PMv	1.19E-12	1.42225642	0.003945081	-0.999999997	expectation	110	premotor-parietal
plan	R	PMv	4.65E-49	0.912275311	0.006771849	-1	expectation	111	premotor-parietal
plan	R	PMv	0.018086012	1.240419504	0.065731893	1.375289095	expectation	112	premotor-parietal
plan	R	PMv	0.052615833	1.531880408	0.052615833	4.142618861	expectation	113	premotor-parietal
plan	R	PMv	0.00298035	1.149005123	0.0219677	-0.91512045	expectation	114	premotor-parietal
plan	R	PMv	0.023135746	0.708091372	0.031889699	9.236634688	expectation	115	premotor-parietal
plan	R	PMv	0.009128101	1.450834268	0.009128107	-0.70107811	uncertainty	102	premotor-parietal
plan	R	PMv	1.27E-12	1.159492615	1.27E-12	-1	uncertainty	103	premotor-parietal
plan	R	PMv	0.023972415	1.097384315	0.040261959	4.004325075	uncertainty	104	premotor-parietal
plan	R	PMv	0.006777561	0.65773372	0.010581335	0.287390581	uncertainty	105	premotor-parietal
plan	R	PMv	0.001183605	0.870924429	0.011433787	-0.979180983	uncertainty	106	premotor-parietal
plan	R	PMv	4.09E-13	1.132554817	0.016247972	-1	uncertainty	107	premotor-parietal
plan	R	PMv	3.12E-14	0.973899968	0.011316599	-1	uncertainty	108	premotor-parietal
plan	R	PMv	0.002209205	1.262548291	0.033568505	-0.981916857	uncertainty	109	premotor-parietal
plan	R	PMv	0.003945081	1.42225642	0.003945081	-0.901898666	uncertainty	110	premotor-parietal
plan	R	PMv	0.006771849	0.912275311	0.006771849	-0.319810209	uncertainty	111	premotor-parietal
plan	R	PMv	0.047645882	1.240419504	0.065731893	13.33061579	uncertainty	112	premotor-parietal
plan	R	PMv	1.80E-18	1.531880408	0.052615833	-1	uncertainty	113	premotor-parietal
plan	R	PMv	0.01898735	1.149005123	0.0219677	2.229569864	uncertainty	114	premotor-parietal
plan	R	PMv	0.008753952	0.708091372	0.031889699	0.66243545	uncertainty	115	premotor-parietal
plan	R	M1	0.001895523	1.391512628	0.03600648	-0.989158851	expectation	102	M1-S1
plan	R	M1	0.06009029	1.079673698	0.066152841	29.27769534	expectation	103	M1-S1
plan	R	M1	0.008911239	0.920030004	0.00891127	0.060086868	expectation	104	M1-S1
plan	R	M1	2.43E-23	0.597668226	6.95E-17	-1	expectation	105	M1-S1
plan	R	M1	1.73E-22	0.869675127	1.73E-22	-1	expectation	106	M1-S1
plan	R	M1	0.053944293	0.918201078	0.053944293	31.20376899	expectation	107	M1-S1
plan	R	M1	0.001243491	0.883282184	0.001243491	-0.984416055	expectation	108	M1-S1
plan	R	M1	0.022499935	1.098333587	0.023428401	1.241490072	expectation	109	M1-S1
plan	R	M1	1.10E-09	1.301032649	0.027733888	-1.000005958	expectation	110	M1-S1
plan	R	M1	2.04E-258	0.821860659	0.015133866	-1	expectation	111	M1-S1
plan	R	M1	0.011669127	1.256485185	0.038426101	-0.012565059	expectation	112	M1-S1
plan	R	M1	0.047370717	1.473264901	0.047370717	2.55834293	expectation	113	M1-S1
