epoch	roi	weight	monkey	component	session	noise
plan	S1	0.002138702137257125	M	uncertainty	5	0.265087954572537
plan	S1	0.004931529930449678	M	expectation	9	0.26791356080624706
plan	S1	0.00127507832795356	M	uncertainty	9	0.26791356080624706
plan	S1	0.0006747462692226071	M	expectation	11	0.2821059851853228
plan	S1	0.000638355080817917	M	uncertainty	11	0.2821059851853228
plan	S1	0.010041264706885714	M	expectation	15	0.28101882720008764
plan	S1	0.0011607666968063129	M	uncertainty	15	0.28101882720008764
plan	S1	0.011894988925275098	M	expectation	16	0.2818151733038344
plan	S1	0.0015621113001835997	M	uncertainty	16	0.2818151733038344
plan	S1	0.0056629643358353365	M	expectation	26	0.3511985720072813
plan	S1	0.0018116065725495684	M	uncertainty	26	0.3511985720072813
plan	S1	0.017942197048538812	M	expectation	27	0.2893617322932163
plan	S1	0.0007061831720802552	M	uncertainty	27	0.2893617322932163
plan	S1	0.009233804527677181	M	expectation	28	0.31152521613873585
plan	S1	0.002762868220798467	M	uncertainty	28	0.31152521613873585
plan	S1	0.004215742710116494	P	expectation	15	0.2915433750743347
plan	S1	0.012908685174392951	P	uncertainty	15	0.2915433750743347
exec	PMd	0.0013371502272785593	M	sensory input	10	0.12289086381846374
exec	PMd	0.17263296209695056	M	expectation	10	0.12289086381846374
exec	PMd	0.0030334969278342453	M	surprise	10	0.12289086381846374
exec	PMd	0.0037892361836871437	M	sensory input	13	0.1267269613732013
exec	PMd	0.061828030754256094	M	expectation	13	0.1267269613732013
exec	PMd	0.008251816764770456	M	surprise	13	0.1267269613732013
exec	PMd	0.0008791181864972997	M	sensory input	14	0.13218557383504195
exec	PMd	0.047355715453257785	M	expectation	14	0.13218557383504195
exec	PMd	0.0025719280498483444	M	surprise	14	0.13218557383504195
exec	PMd	0.007003189151110278	M	sensory input	15	0.13294504732335571
exec	PMd	0.045020819398874715	M	expectation	15	0.13294504732335571
exec	PMd	0.005558797002064098	M	surprise	15	0.13294504732335571
exec	PMd	0.0025711087293844503	M	sensory input	16	0.1283957541570465
exec	PMd	0.035025919196809946	M	expectation	16	0.1283957541570465
exec	PMd	0.004000383417791939	M	surprise	16	0.1283957541570465
exec	PMd	0.0021344365952393717	M	sensory input	17	0.15052237347016656
exec	PMd	0.03540640516546398	M	expectation	17	0.15052237347016656
exec	PMd	0.010033832073219714	M	surprise	17	0.15052237347016656
exec	PMd	0.010770464904009812	M	sensory input	19	0.11673148955667295
exec	PMd	0.06092579334922304	M	expectation	19	0.11673148955667295
exec	PMd	0.016216774372578024	M	surprise	19	0.11673148955667295
exec	PMd	0.011020861951642279	M	sensory input	20	0.13394007109275607
exec	PMd	0.03346844337585137	M	expectation	20	0.13394007109275607
exec	PMd	0.012732749060036463	M	surprise	20	0.13394007109275607
exec	PMd	0.011520827682517942	M	sensory input	21	0.135526330582803
exec	PMd	0.03895372168441564	M	expectation	21	0.135526330582803
exec	PMd	0.00434493445759554	M	surprise	21	0.135526330582803
exec	PMd	0.010125112319224569	M	sensory input	22	0.14457983816555145
exec	PMd	0.0532954716166551	M	expectation	22	0.14457983816555145
exec	PMd	0.014094175195566067	M	surprise	22	0.14457983816555145
exec	PMd	0.03428948177600612	M	sensory input	23	0.1357881908014683
exec	PMd	0.0026500860625301163	M	expectation	23	0.1357881908014683
exec	PMd	0.03242564355196701	M	surprise	23	0.1357881908014683
exec	PMd	0.012739504429793602	M	sensory input	24	0.1478760239211933
exec	PMd	0.03555332151014651	M	expectation	24	0.1478760239211933
exec	PMd	0.04148901364453208	M	surprise	24	0.1478760239211933
exec	PMd	0.006582933015829157	P	sensory input	4	0.1311642584502448
exec	PMd	0.017009011423131524	P	expectation	4	0.1311642584502448
exec	PMd	0.014076574013253901	P	surprise	4	0.1311642584502448
exec	PMd	0.003953189624000343	P	sensory input	6	0.13384295812689986
exec	PMd	0.00841592959433224	P	expectation	6	0.13384295812689986
exec	PMd	0.02093571959799904	P	surprise	6	0.13384295812689986
exec	PMd	0.0014793001747476506	P	sensory input	7	0.1354457922693202
exec	PMd	0.006191273190229727	P	expectation	7	0.1354457922693202
exec	PMd	0.009075915657895402	P	surprise	7	0.1354457922693202
exec	PMd	0.003635245181928293	P	sensory input	10	0.13581614033515063
exec	PMd	0.018009001334593766	P	expectation	10	0.13581614033515063
exec	PMd	0.010775788251745393	P	surprise	10	0.13581614033515063
exec	PMd	0.003516447445166386	P	sensory input	20	0.13812258990450224
exec	PMd	0.008918854022571455	P	expectation	20	0.13812258990450224
exec	PMd	0.0021338561500098088	P	surprise	20	0.13812258990450224
exec	M1	0.0008417807616700366	M	sensory input	12	0.14349668453501177
exec	M1	0.018543146248617404	M	expectation	12	0.14349668453501177
exec	M1	0.006198342858578684	M	surprise	12	0.14349668453501177
exec	M1	0.003451771693723317	M	sensory input	13	0.14029907947259793
exec	M1	0.03010925369289336	M	expectation	13	0.14029907947259793
exec	M1	0.0021038904850040657	M	surprise	13	0.14029907947259793
exec	M1	0.004032405419518617	M	sensory input	25	0.15730395708748662
exec	M1	0.07495307918205135	M	expectation	25	0.15730395708748662
exec	M1	0.011440543321069311	M	surprise	25	0.15730395708748662
exec	M1	0.010543472044120466	M	sensory input	27	0.15802914558082912
exec	M1	0.030476791410793496	M	expectation	27	0.15802914558082912
exec	M1	0.004915653968039953	M	surprise	27	0.15802914558082912
exec	M1	0.0030182718737907475	M	sensory input	28	0.14993571483265844
exec	M1	0.01040225173690406	M	expectation	28	0.14993571483265844
exec	M1	0.012929702028508218	M	surprise	28	0.14993571483265844
exec	M1	0.002491566154259426	P	sensory input	2	0.13865271081276717
exec	M1	0.043846846569835875	P	expectation	2	0.13865271081276717
exec	M1	0.009468760913356949	P	surprise	2	0.13865271081276717
exec	M1	0.0007509774446749788	P	sensory input	3	0.14157400758484176
exec	M1	0.0038145144644294183	P	expectation	3	0.14157400758484176
exec	M1	0.010215098849287375	P	surprise	3	0.14157400758484176
exec	M1	0.0024093225339427596	P	sensory input	14	0.15331131382354815
exec	M1	0.0039865011312961406	P	expectation	14	0.15331131382354815
exec	M1	0.006981472596496649	P	surprise	14	0.15331131382354815
exec	M1	0.003579489041543116	P	sensory input	20	0.14713313137858486
exec	M1	0.0015847994779224837	P	expectation	20	0.14713313137858486
exec	M1	0.00022781543732644857	P	surprise	20	0.14713313137858486
