epoch	roi	weight	weight_norm	variance	monkey	component	session	noise
plan	PMd	0.03341599446926896	0.42423995067183373	0.35349401629888655	M	expectation	24	0.07928410762714642
plan	PMd	0.002941742118892105	0.03714836171706076	0.35349401629888655	M	uncertainty	24	0.07928410762714642
plan	PMd	0.06782056013990387	0.5031456494835533	0.6643825393228286	P	expectation	4	0.14402737966600954
plan	PMd	0.020452541068794124	0.15457609333843172	0.6643825393228286	P	uncertainty	4	0.14402737966600954
plan	PMd	0.02129651244554253	0.23142117732860285	0.39515820908914984	P	expectation	6	0.09270018388312598
plan	PMd	0.0030615643820597073	0.033935011961262695	0.39515820908914984	P	uncertainty	6	0.09270018388312598
plan	PMd	0.021390078334909364	0.18659796539130716	0.48162063642710407	P	expectation	7	0.11452677916184759
plan	PMd	0.0021271961293952714	0.018466437333247175	0.48162063642710407	P	uncertainty	7	0.11452677916184759
plan	PMd	0.02977037262219944	0.3644304827746928	0.3596746867691153	P	expectation	10	0.0822067611607486
plan	PMd	0.001077339617832923	0.013306967019457962	0.3596746867691153	P	uncertainty	10	0.0822067611607486
plan	PMd	0.032817315024148475	0.2033256635577812	0.6821483946831874	P	expectation	20	0.1566656522824202
plan	PMd	0.0226684819572674	0.14162075323549694	0.6821483946831874	P	uncertainty	20	0.1566656522824202
plan	M1	0.022677185228846864	0.25010451433114056	0.39228706654603407	M	expectation	12	0.09191083864946767
plan	M1	0.001969311598893327	0.021547104208101086	0.39228706654603407	M	uncertainty	12	0.09191083864946767
plan	M1	0.021308305796322334	0.36528448184418105	0.25177305680893913	M	expectation	13	0.05727818395210128
plan	M1	0.0013548897114252063	0.02328697682068242	0.25177305680893913	M	uncertainty	13	0.05727818395210128
plan	M1	0.044673120880856655	1.0164095103104045	0.21278201944040182	M	expectation	25	0.0416462056233252
plan	M1	0.0015241697284213108	0.03745179665146201	0.21278201944040182	M	uncertainty	25	0.0416462056233252
plan	M1	0.017140833118082267	0.4920798415598095	0.15243913655349933	M	expectation	27	0.033650343418540604
plan	M1	0.0007005784245652028	0.020718110254473898	0.15243913655349933	M	uncertainty	27	0.033650343418540604
plan	M1	0.004156189562274325	0.12102630867736304	0.14075467993520674	M	expectation	28	0.033891140666768925
plan	M1	0.0010353449800430874	0.03033143057266375	0.14075467993520674	M	uncertainty	28	0.033891140666768925
plan	M1	0.09300811146744699	0.6431106340623667	0.6296468679618026	P	expectation	2	0.13397250148530912
plan	M1	0.0007537395582319371	0.005101164133339245	0.6296468679618026	P	uncertainty	2	0.13397250148530912
plan	M1	0.014381117378933238	0.08567161608347036	0.6606702303126135	P	expectation	3	0.16110512311678432
plan	M1	0.0019046749037329197	0.011842948788221072	0.6606702303126135	P	uncertainty	3	0.16110512311678432
plan	M1	0.009308205799822038	0.0966444759604057	0.383431908053314	P	expectation	14	0.09304691488563807
plan	M1	0.0019392516488805456	0.020003620895303498	0.383431908053314	P	uncertainty	14	0.09304691488563807
plan	M1	0.009067193609595466	0.07871142011455992	0.4605017605781292	P	expectation	20	0.11150031983166929
plan	M1	0.005434143517163446	0.04919444138779601	0.4605017605781292	P	uncertainty	20	0.11150031983166929
plan	S1	0.0013157450664162491	0.02200816248861677	0.24559230035763202	M	expectation	5	0.06093491142668483
plan	S1	0.0005380519202525424	0.008642023070702208	0.24559230035763202	M	uncertainty	5	0.06093491142668483
plan	S1	0.0013126231567603464	0.020098499742104235	0.2615727090784493	M	expectation	9	0.06498548753587259
plan	S1	0.0003297736585514568	0.005152236614723306	0.2615727090784493	M	uncertainty	9	0.06498548753587259
plan	S1	0.00023252826385277857	0.0027148624154156855	0.3221833347476517	M	expectation	11	0.08043945330817923
plan	S1	0.00019871577119113528	0.002559491803413746	0.3221833347476517	M	uncertainty	11	0.08043945330817923
plan	S1	0.0037842130336560582	0.041003465495563884	0.3868644759853065	M	expectation	15	0.09566250514603082
plan	S1	0.00043030929139700893	0.004747119114077082	0.3868644759853065	M	uncertainty	15	0.09566250514603082
plan	S1	0.0037332949728566666	0.048696308789777515	0.306341923904998	M	expectation	16	0.07553715113155979
plan	S1	0.0004714783249189085	0.006336767896754997	0.306341923904998	M	uncertainty	16	0.07553715113155979
plan	S1	0.000345997815606898	0.0230523026537536	0.06293040047541754	M	expectation	26	0.015618440393968713
plan	S1	0.00011161850984296146	0.007359553635718106	0.06293040047541754	M	uncertainty	26	0.015618440393968713
plan	S1	0.0020614153423282695	0.07389538171802823	0.11492964201515093	M	expectation	27	0.028196821822427123
plan	S1	8.103275174214762e-05	0.002858697991066138	0.11492964201515093	M	uncertainty	27	0.028196821822427123
plan	S1	0.000981383881138483	0.03778459016060544	0.10588512097219929	M	expectation	28	0.026152773525590835
plan	S1	0.0002966262099230636	0.011262127619917406	0.10588512097219929	M	uncertainty	28	0.026152773525590835
plan	S1	0.0011338009879559676	0.017329396854879126	0.2720239808481889	P	expectation	15	0.06685759909874689
