epoch	method	glm	Hem	roi	weight	noise	weight_sum	BF	component	participant_id	cluster
plan	ols	12	L	SMA	0.026650898931298423	1.0886310484066506	0.02665089893129843	9.935401963578649	uncertainty	104	premotor-parietal
plan	ols	12	L	SMA	0.003387844872340391	0.7661066693362518	0.003387844872340391	-0.6265918506106906	uncertainty	105	premotor-parietal
plan	ols	12	L	SMA	2.666092203201794e-12	1.0278342181974913	2.666092203201794e-12	-1.0000000000086815	uncertainty	106	premotor-parietal
plan	ols	12	L	SMA	0.00038270706551889086	1.4594453750676106	0.00038270706612544755	-0.9984927704199685	uncertainty	107	premotor-parietal
plan	ols	12	L	SMA	0.006589236473114918	1.1178778930957076	0.006589236473114918	-0.3411349669841539	uncertainty	108	premotor-parietal
plan	ols	12	L	SMA	0.01041524627839482	1.4108139180456605	0.032950324586014504	-0.4877173865492839	uncertainty	109	premotor-parietal
plan	ols	12	L	SMA	0.009500258429458593	1.5381949342528745	0.01585773144341244	-0.23325267150454243	uncertainty	110	premotor-parietal
plan	ols	12	L	SMA	0.009901475622329233	0.9320845462428724	0.009901475622329233	1.2885564024909402	uncertainty	111	premotor-parietal
plan	ols	12	L	SMA	0.03280790195686543	1.3198372364314557	0.06923057292745963	8.913681993337315	uncertainty	112	premotor-parietal
plan	ols	12	L	SMA	0.0	2.019275094420903	0.03505347823985004	-0.9999999999367464	uncertainty	113	premotor-parietal
plan	ols	12	L	SMA	0.04201546240881606	1.2820794467919006	0.0519269269547355	17.873739712964117	uncertainty	114	premotor-parietal
plan	ols	12	L	SMA	0.0026802149808318083	0.7719785484582022	0.015616338334669602	-0.7404948703471286	uncertainty	115	premotor-parietal
plan	ols	12	L	PMd	1.3614181454874576e-07	1.4807851314685117	0.010657658728695828	-1.0000172490878232	expectation	102	premotor-parietal
plan	ols	12	L	PMd	0.013943175671798737	1.3299673941696464	0.033273114034238535	2.3326570454049778	expectation	103	premotor-parietal
plan	ols	12	L	PMd	1.8909399405993805e-14	1.1327936836870849	0.05649678156937755	-0.9999999999854481	expectation	104	premotor-parietal
plan	ols	12	L	PMd	1.4343969208402994e-19	0.7887082226577232	0.029396150858542247	-1.0000000000436557	expectation	105	premotor-parietal
plan	ols	12	L	PMd	0.006368265320915322	1.2070304149201692	0.02302674762346167	-0.06289223804910782	expectation	106	premotor-parietal
plan	ols	12	L	PMd	8.754152465080629e-12	1.4191324717569518	0.0324984415351091	-1.000000000014552	expectation	107	premotor-parietal
plan	ols	12	L	PMd	0.0016335244584580416	1.2775357103474339	0.019891189117275908	-0.9508928729978481	expectation	108	premotor-parietal
plan	ols	12	L	PMd	0.03302810979468075	1.7671779039041091	0.06403783564401372	4.616967118535191	expectation	109	premotor-parietal
plan	ols	12	L	PMd	0.028842073233323537	1.9710454900794752	0.03519717637597786	6.289388847052457	expectation	110	premotor-parietal
plan	ols	12	L	PMd	0.0019213376099575115	0.9399851661820604	0.026240840177812256	-0.8453295708082643	expectation	111	premotor-parietal
plan	ols	12	L	PMd	0.03190634608301545	1.6833877931831813	0.10555207455184204	10.472372963406087	expectation	112	premotor-parietal
plan	ols	12	L	PMd	0.10025407141924982	2.422932574749549	0.14563145724288948	17.811906481155493	expectation	113	premotor-parietal
plan	ols	12	L	PMd	0.03886786316224776	1.2954067699866065	0.14652714380166765	26.464385822881013	expectation	114	premotor-parietal
plan	ols	12	L	PMd	0.006892852446461718	0.8554599042578901	0.012199314713690027	1.1878746049645836	expectation	115	premotor-parietal
