cluster	participant_id	component	Hem	glm	weight	noise	weight_sum	BF	ratio	epoch
M1-S1	108	sensory input	R	12.0	6.377320876732506e-05	2.8241362003006847	0.2291156559553208	-0.9999730293763962	0.00027834505023856287	exec
M1-S1	109	sensory input	L	12.0	0.5865665023358907	3.5066201868170093	0.6586646597391302	137.79627479191166	0.8905389011886644	exec
M1-S1	109	sensory input	R	12.0	0.10196925539150478	3.444844853840393	0.21425214370920165	3.9045769059518687	0.47593108580469917	exec
M1-S1	110	sensory input	L	12.0	2.0997470105707734	4.130176954224713	2.279077153890961	443.9405996999897	0.9213145798886073	exec
M1-S1	110	sensory input	R	12.0	1.8274807876097852e-08	3.4578715837791307	0.07992575711115169	-1.0000035210081974	2.2864729139422874e-07	exec
M1-S1	111	sensory input	L	12.0	0.3505890860888042	2.571247423481405	0.41358343197330705	249.75401493119705	0.8476864859311662	exec
M1-S1	111	sensory input	R	12.0	1.8963095096395668e-08	2.5031532335158246	0.07462468312434166	-0.9999882641952076	2.541129061117599e-07	exec
M1-S1	112	sensory input	L	12.0	0.43441806776400965	3.534949871516847	0.5547812620954683	150.9646714643299	0.7830438723239609	exec
M1-S1	112	sensory input	R	12.0	0.1746117062596123	3.4303208136459475	0.32736486879067705	26.08976659825573	0.5333855978640828	exec
M1-S1	113	sensory input	L	12.0	1.3743878138449666	3.685924743370536	1.510019578728047	283.885530666811	0.9101788037759558	exec
M1-S1	113	sensory input	R	12.0	0.23031637508953723	4.130278021248332	0.3912243098931893	10.823999701566308	0.5887067067801012	exec
M1-S1	114	sensory input	L	12.0	0.7000845773297089	3.110590990898876	0.8712145544319896	298.9325570709942	0.8035730966250291	exec
M1-S1	114	sensory input	R	12.0	0.022497844111993407	2.8459576871814645	0.10917978548828589	-0.3674692159544854	0.20606235862596786	exec
M1-S1	115	sensory input	L	12.0	0.13550573337327154	1.8183795962675142	0.19942856594282554	52.73746621997164	0.6794700284417623	exec
M1-S1	115	sensory input	R	12.0	0.020742117155988952	1.5660028152984873	0.09178679676309748	1.3709779812962948	0.2259814906660763	exec
premotor-parietal	102	sensory input	L	12.0	0.005785582191784164	3.92186908037067	0.0973939879889098	-0.8890759897865095	0.05940389454473273	exec
premotor-parietal	102	sensory input	R	12.0	0.029061184924021433	3.774810737278809	0.10436999418472429	-0.023133769464322197	0.2784438683841075	exec
premotor-parietal	103	sensory input	L	12.0	0.07824020082468078	3.0423108614688	0.14834763355509165	10.623077138738298	0.5274111824347022	exec
premotor-parietal	103	sensory input	R	12.0	0.076825786278065	3.0150071297696606	0.1541502626440503	9.036764287448836	0.4983824546278204	exec
premotor-parietal	104	sensory input	L	12.0	0.040990616053382486	2.722847443162312	0.1400445517697198	13.80385304094303	0.2926969706096443	exec
premotor-parietal	104	sensory input	R	12.0	3.346038187251754e-08	2.58871999539271	0.08602267252333781	-0.999990828592942	3.8897166166791424e-07	exec
premotor-parietal	105	sensory input	L	12.0	0.002068500822650057	1.8338675794695152	0.07840335406762372	-0.9853971739070964	0.026382810368877244	exec
premotor-parietal	105	sensory input	R	12.0	0.0033444765625432206	1.8012064813546522	0.07605101904821697	-0.8243088326526269	0.0439767488246646	exec
premotor-parietal	106	sensory input	L	12.0	0.028003214793464803	2.7306293369518198	0.0994375350229693	2.7018510929689086	0.2816161400923331	exec
premotor-parietal	106	sensory input	R	12.0	0.003220239127883655	2.4634200425442554	0.07319058592536591	-0.829723986619627	0.043997996288312344	exec
premotor-parietal	107	sensory input	L	12.0	0.01973319633677814	3.116325884981292	0.09352140707782694	0.15575803269265762	0.21100191874098412	exec
premotor-parietal	107	sensory input	R	12.0	0.018388582017773443	2.607141917507397	0.08366124583671816	-0.07550864542311572	0.21979808971124432	exec
premotor-parietal	108	sensory input	L	12.0	0.008790976635075604	3.1734862478134955	0.2739695309256995	-0.49952741934107525	0.03208742448611819	exec
premotor-parietal	108	sensory input	R	12.0	5.0829773740956754e-09	2.986816323044873	0.2178460541795296	-0.9999986446764867	2.3332887039150735e-08	exec
premotor-parietal	109	sensory input	L	12.0	0.09737076563507965	3.903527053401143	0.22814949480146604	5.916146413829193	0.42678492766250015	exec
premotor-parietal	109	sensory input	R	12.0	0.03199290274563221	3.6558324611529756	0.15283037806214897	-0.060190694895575624	0.2093360178211572	exec
premotor-parietal	110	sensory input	L	12.0	0.04746412774561891	4.22177788717421	0.16774655779083747	4.471417715189101	0.2829514260721925	exec
premotor-parietal	110	sensory input	R	12.0	0.0036587021494471064	3.7367372547507025	0.09667303263632501	-0.9902445520500072	0.03784615057242287	exec
premotor-parietal	111	sensory input	L	12.0	0.008952859476506795	2.7396706588605086	0.10100658106949822	-0.1372848338397093	0.08863639756647859	exec
premotor-parietal	111	sensory input	R	12.0	0.00021631583305613462	2.6543044986940325	0.08314277685635434	-0.9995786036704863	0.002601739336056374	exec
premotor-parietal	112	sensory input	L	12.0	0.03542685837598009	3.7192813783615746	0.17023926374575904	3.3449340133989693	0.20810039703230707	exec
premotor-parietal	112	sensory input	R	12.0	0.005820459372245011	3.7000354271210307	0.1401410421030557	-0.9027537467332761	0.041532867780195416	exec
premotor-parietal	113	sensory input	L	12.0	0.21065578201155075	4.772976378283329	0.43844912117836277	15.516277303470627	0.4804566181941443	exec
premotor-parietal	113	sensory input	R	12.0	0.08550685765420649	4.548635689202458	0.24901323776690304	2.221521839468742	0.3433827792490613	exec
premotor-parietal	114	sensory input	L	12.0	0.039157414882846686	3.3938942207270473	0.14310122185199284	3.715841862733034	0.2736343853398159	exec
premotor-parietal	114	sensory input	R	12.0	0.009454787519064364	3.138543220524119	0.09586187951602904	-0.6638703699039139	0.0986292733545187	exec
premotor-parietal	115	sensory input	L	12.0	0.023872692491800837	1.9849829134122998	0.09470700986053875	3.0345947076933157	0.2520689073275007	exec
premotor-parietal	115	sensory input	R	12.0	0.03925374679178425	1.7326557645334746	0.11522404419962924	10.188434148324943	0.3406732254925535	exec
