102	103	104	105	106	107	108	109	110	111	112	113	114	115	time	GoNogo	kind	Hem	roi
1.678352779148993	0.9790167911332509	1.082623989775669	1.9943390204272595	2.3033350673915645	1.402456289632784	1.2725582173628949	1.612977784296803	1.1180734997479083	0.5820158392042737	1.7183817061360558	1.83053117104306	2.4471678334789466	0.9205692505616451	14.0	nogo	hat	L	M1
2.6923866667037952	0.7752854705541996	0.9562844281995986	0.7396331443507246	1.1252426458034321	1.2208408735225522	1.051294710881368	1.2157894531852076	0.8681880173156951	-0.13933652911256045	0.8469838380209845	1.3621840747599643	1.6023435585937345	0.5472002638340117	15.0	nogo	hat	L	M1
3.074296280407952	0.4576371895223936	0.6442586362330135	-0.38939052085919584	-0.13053581105227535	0.7351154327628556	0.670749322789039	0.6357966180348731	0.5071649122465112	-0.7184795634257557	-0.05858567068796359	0.8104501331483361	0.571771042205888	0.32229371066204326	16.0	nogo	hat	L	M1
3.010801970710473	0.30331703644312646	0.9184659864950625	1.4332984350130575	-0.6498838059002062	0.995042459184906	0.682695552939798	0.9375518632655655	0.5757041556711099	-1.1425377675856496	0.0031707969857252584	1.0905683640671378	0.3395694125198579	0.6216661318238229	-3.0	nogo	adj	L	M1
1.9004432061472183	-0.03190890148952605	0.7791565801400718	0.5479154854732935	-1.2127946056375338	0.06865005564028466	0.3251797007172661	0.1447356578170882	0.1823170227029841	-1.0618113473117152	-0.6841548483766552	0.28519250892547315	-1.5054889787941494	0.2710516297451525	-2.0	nogo	adj	L	M1
1.9974655787863107	-0.5842807843316119	0.5031192578721163	-1.020665026439734	-1.7749833350673148	-0.7601084578026215	-0.30941957870656983	-0.504387679953132	-0.19606473370485705	-0.8723525536577255	-1.4354964046986665	-0.5310456662932681	-1.8632121717141947	-0.11288786149132461	-1.0	nogo	adj	L	M1
1.2317194652404708	-0.9862821080735744	-0.030536655835693406	-1.609030277648949	-1.8750174927388747	-1.5275768061606068	-1.0170471542949424	-1.1808302556130341	-0.4376727217187359	-0.3821651872430372	-1.359405142340128	-0.9651145857109583	-0.16519654277947307	-0.15046334767639152	0.0	nogo	adj	L	M1
-0.36531604157940806	-0.8567495674009282	-0.37227833894474505	-1.9264646132352765	-1.5503886320641111	-1.4753318594905658	-1.1665576533872521	-1.571425487920961	-0.6081677562545283	-0.14655384385913597	-0.912053491080521	-0.6910049778254734	1.437986752896311	-0.20829815294335968	1.0	nogo	adj	L	M1
-0.9940071448811476	-0.8738992337676245	-1.0295574589506395	-1.8426226094664324	-1.053372645199322	-0.8409481212872003	-1.0383919583348902	-1.4730902175420009	-0.8068181371782566	-0.3152445758515921	-0.46630801975837427	-0.37023103420585174	1.475923052196062	-0.34614874140286384	2.0	nogo	adj	L	M1
-1.8998587186063274	-0.8094329271285478	-2.0493900725475434	-1.5772941326931942	-0.09364352476943463	-0.35696297212564854	-0.7763810895986059	-0.6834498426096353	-0.8493221095624537	-0.8598308023467628	-0.09885310425616767	0.5858331402099156	0.26063199543290805	0.051844205726072234	3.0	nogo	adj	L	M1
-2.212605852015818	-0.7311653897749115	-1.9112523349543225	-1.2225728307905508	0.018917846236085695	0.646559375122818	-0.5516012863182354	0.3280347358772291	-0.7697940619692031	-0.6459130998523002	-0.047253986487929354	1.5327752333170686	-1.4170344433740616	-0.33476591489402274	4.0	nogo	adj	L	M1
-4.627901941924466	-0.5322290150031798	-1.563352648614999	-0.26966635734828615	-0.6292088690331854	1.451507349030807	0.07384084300810889	1.4354595046440275	-0.393777839121275	-0.6509538757165259	0.19015911171303534	2.112000000965354	-2.3796219215333045	-0.6526410589154621	5.0	nogo	adj	L	M1
-2.0387790846826666	0.21840999451673335	-0.6010651928552935	-0.2648962300887844	-1.0638610198374159	1.4955143266875897	0.43826006327825556	1.9884957939939334	0.05996552212024437	-0.44532605702985495	0.035192252700083256	1.4682796278432402	-2.002200417722335	-0.41651015504074146	6.0	nogo	adj	L	M1
-0.4742226914417442	0.9000023074482248	0.031273442983679615	-0.8588520836192234	-1.6662048261915956	1.1818281065060088	1.084217599842729	1.5741572933750618	0.15936796022269895	-0.4612763173935927	-0.013111416885915972	1.0562480900564237	-1.7692774562205242	-0.49306118653765874	7.0	nogo	adj	L	M1
-0.041442026024414054	0.650609253330488	-0.10451649863135505	-2.598196961411897	-2.419437819457312	0.35651987161601606	0.417470694031762	0.2971095091255079	0.020446082016161358	-0.40337292816097975	-0.44787379441977	0.6084060563408809	-2.140950559908427	-0.639522230269062	8.0	nogo	adj	L	M1
0.298644559273087	-0.028993269195083802	-0.3689003789678016	-1.3425757858823009	-1.6864727659736667	-0.24062362145845329	-0.6039624402513329	-1.0930431207567313	-0.20963427595154865	0.34434673162701046	-0.08194397686832179	0.511062897330807	-1.0379241649792883	-1.6985890659760563	9.0	nogo	adj	L	M1
-0.6390349653710662	0.06060168149499588	0.24108884731704952	0.4162116147531206	0.24276088897477627	0.010634377865228663	-0.010947055104308878	-1.1115209401991775	-0.003859915431738016	0.9524114872578311	1.5711078799350324	0.4692518348888415	0.35799514648108166	-0.5204740376034296	10.0	nogo	adj	L	M1
0.4266152870267102	0.5375708634386669	0.8287565580499426	2.301472592170784	2.320103615295125	0.7376438485820977	0.5091058128445415	-0.2592043256195686	0.397288328957154	1.9738288634639596	2.8433691640088856	0.9780105804236747	1.6713954204988635	0.19666409196386467	11.0	nogo	adj	L	M1
3.1920753930097274	0.8527260522337659	0.676160042495638	3.3144400187198535	4.151513353162876	1.2442567856106042	1.1543726284205535	1.098315314999214	0.9332982782093391	2.102709503947047	2.2364614174649655	1.359457190356475	2.5487659148015718	1.1013094891468815	12.0	nogo	adj	L	M1
2.715299939355949	0.5859710399184038	0.45021217590605933	2.129994001780096	3.870344175223318	1.3710575100941198	1.4437999230534868	2.260661057103171	0.8689289275366527	1.216467563974464	1.3615523703657655	1.982195553907683	2.3550720678710664	1.0964807959331597	13.0	nogo	adj	L	M1
2.1342105978692603	0.7399124272503244	0.491845219913418	2.355215132784904	2.5781989315943283	1.1134544031125815	1.33613503651532	2.1292583476425655	1.0123610785925956	0.7631674755021683	1.4141903353664727	1.688137760268395	2.3187099294444655	0.13564264709551407	14.0	nogo	adj	L	M1
1.9600452104933805	0.915111469095122	0.6355682969316618	2.8043573092314205	2.0521422664651197	0.9498830232120025	1.1474086850604526	2.629454247738925	1.1960335292799371	-0.2601580630065237	1.2185829128141903	1.8763112388259626	2.0220121766183663	0.32484056123481064	15.0	nogo	adj	L	M1
3.7571053253057736	0.7899430943768638	0.6978922885737018	2.231784190317352	1.250929677570699	0.7627187995689596	1.1339482156679046	1.6868779460189967	0.965073517210035	-0.3831658100546921	0.5328713812249889	1.5953055442263688	1.3294049894546822	0.4538379832839859	16.0	nogo	adj	L	M1
316.8961440663168	296.28822152766486	327.0657026561875	284.0840212567592	303.47890901272916	278.4581462103456	290.1059864160788	309.18092915315054	240.39824203173856	247.41856778801744	263.61185261739445	304.3639076819994	322.538569341878	208.30088555762921	-3.0	go	raw	L	S1
317.214796332633	296.2159581361363	327.02010880927884	283.04309397466557	303.29550457834426	278.1802118786147	290.17761595166843	308.6245229957924	240.16756458828732	246.68834566863512	262.8380094489119	303.92164598627477	321.6780605743166	208.44135707158102	-2.0	go	raw	L	S1
316.74822191821244	295.7993825194684	326.61223959640034	281.97801132934507	302.68817464288315	277.55757398558393	289.8378138054013	307.6204157574363	239.79321336774208	246.44816329947145	261.8079600050034	302.95371080459313	320.60300272308314	208.38245652092954	-1.0	go	raw	L	S1
316.489031126345	295.0799006007372	326.10782988238043	280.6195513447695	302.1821833826936	276.7834646984324	287.6707955241878	306.9033337638951	239.45073439343554	246.97720672200526	260.2562397787679	302.2971990889591	320.21324526460523	207.4302521545452	0.0	go	raw	L	S1
316.05633665903594	294.7992676624369	326.4159988254513	282.77223969695694	302.5015286400119	276.04912446632534	288.14369104249863	306.62973910166755	239.45850589311942	248.07212040110082	261.39235686520215	301.96057794480663	320.58798918773454	208.54954886503148	1.0	go	raw	L	S1
316.4605345988657	295.9297835208619	327.36532386191277	284.9008906414209	304.53307636095843	276.75618084491174	288.7033072007655	308.099694561693	240.37489547037407	249.86487879857836	262.89810633205263	302.9352020621873	322.39889547747913	209.3025420645889	2.0	go	raw	L	S1
317.1728014820319	296.9605181418976	328.0607852431184	286.70290580618627	306.42982693919225	277.963327900658	289.7185536095139	310.3328228254764	241.1723604191373	250.53722323049263	264.134815201821	304.5055025526218	324.0392501152142	209.8164426853238	3.0	go	raw	L	S1
317.6970002107469	297.19728171925215	328.453649333329	286.76596376313785	306.23955646386554	278.76040915557513	290.4448837561616	310.6748653949154	241.33086394299372	250.0713461172629	264.73394513088505	305.14464764842506	324.47885775135876	209.785444792827	4.0	go	raw	L	S1
317.93828765902526	297.1208856429333	328.2264758436326	286.53179295867193	305.3466310892864	278.9386703205495	290.2335512411993	310.26337409138506	241.25206992596415	249.2531500185403	264.9336237607681	305.37264212956717	324.6220768977497	209.12661251948813	5.0	go	raw	L	S1
319.02228705445816	297.23634230614294	328.1860794254492	286.5540052390336	305.0348573409731	279.35843155272454	290.2766959956155	310.4066720437839	241.24768457072412	248.0957185429262	264.55289520683715	305.39779594770977	324.30942243831834	208.93902953515035	6.0	go	raw	L	S1
319.00673171319517	296.9657485159841	328.1086388012597	285.88893733494905	304.55762524032366	279.2684398898451	290.37685914539105	309.83163137471337	240.88501549502354	247.0062374262219	263.39567795049476	304.9089631589599	323.18393386868183	209.02380128621147	7.0	go	raw	L	S1
318.3416422289	296.15116336604774	327.6249644173146	284.4109135719222	304.005694135337	278.6004203554476	290.1320602900771	308.58662976267067	240.3141919288986	246.00331532760416	261.9760766937304	303.76930748218956	321.43629886462884	209.0315561164317	8.0	go	raw	L	S1
317.75009430973205	295.17650628559	326.84497098328944	282.4767507117732	303.0141776303782	277.56828287611626	289.17241017301984	307.496156938754	239.79788239394378	245.77763796606237	260.39026200433614	302.4001638932746	320.02428341104815	208.81859301240058	9.0	go	raw	L	S1
316.6992049927457	294.4469549264032	326.26877727368054	281.40399675642175	302.09010349823916	276.21939660515517	288.42144750866987	306.5758499187609	239.32158013313403	246.31007177173746	259.7783337896331	301.3966530060925	319.7792133589057	208.65481290435454	10.0	go	raw	L	S1
