con	psc	condition	sn	roi	Hem	epoch
-3.401438317260673	-0.30880229634468087	50-50%	102	SPLp	R	plan
5.661368583202855	0.44802442145002375	25-75%	102	SPLp	R	plan
2.3969001848416283	0.16081436833708684	0-100%	102	SPLp	R	plan
11.155949277539412	1.0467129881374284	plan	102	SPLp	R	plan
-12.284641973081024	-0.5840371045662476	exec	102	SPLp	R	plan
-0.0018933971580791186	0.005391250796768522	100-0%	103	SMA	L	plan
0.15496050270206957	0.029845626479160624	75-25%	103	SMA	L	plan
-0.20748428982312242	-0.01245709465892357	50-50%	103	SMA	L	plan
1.0964079251602652	0.20082015170763437	25-75%	103	SMA	L	plan
0.5573412617320667	0.09193183502844389	0-100%	103	SMA	L	plan
0.6260187347632754	0.12318258880082159	plan	103	SMA	L	plan
3.5244287110393846	0.27874644283143557	exec	103	SMA	L	plan
1.0252390817642725	0.15491138289326864	100-0%	103	PMd	L	plan
1.3957953691046903	0.21201879032601278	75-25%	103	PMd	L	plan
1.2506634122461662	0.1903057967752813	50-50%	103	PMd	L	plan
2.8448688601509486	0.44160241985788173	25-75%	103	PMd	L	plan
1.6517472685739885	0.2492282731987977	0-100%	103	PMd	L	plan
2.5975833237942623	0.3925262186518309	plan	103	PMd	L	plan
2.9053314547277873	0.22612456118328794	exec	103	PMd	L	plan
-1.5734578278659672	-0.21567350219433698	100-0%	103	PMv	L	plan
-1.6553839586658634	-0.22814292076830908	75-25%	103	PMv	L	plan
-1.9420161681429757	-0.2623284520568506	50-50%	103	PMv	L	plan
-1.0826020661330022	-0.13174867610648253	25-75%	103	PMv	L	plan
-1.6686306013589651	-0.2337838308597382	0-100%	103	PMv	L	plan
-1.874259405226825	-0.261075016033841	plan	103	PMv	L	plan
5.832349493012155	0.5004701729934862	exec	103	PMv	L	plan
-1.8200430704443566	-0.3261065705027034	100-0%	103	M1	L	plan
-0.6886146915222663	-0.12131262984998556	75-25%	103	M1	L	plan
-1.6803255886219737	-0.2854883244821751	50-50%	103	M1	L	plan
-0.2704288757064624	-0.030296659369869576	25-75%	103	M1	L	plan
-0.4785949387995929	-0.08403724991957963	0-100%	103	M1	L	plan
-0.9295468957586361	-0.151747426117407	plan	103	M1	L	plan
9.417302579545517	0.8101429078521442	exec	103	M1	L	plan
-3.147232868735372	-0.48217270284541985	100-0%	103	S1	L	plan
-2.792141886347084	-0.41391832053167366	75-25%	103	S1	L	plan
-3.1512636158734293	-0.4775339517152025	50-50%	103	S1	L	plan
-2.0761826403502157	-0.30227817141353186	25-75%	103	S1	L	plan
-2.9585259829451216	-0.4444202526201345	0-100%	103	S1	L	plan
-3.4671729170133907	-0.5622887731077462	plan	103	S1	L	plan
16.77777218882425	1.339719461944265	exec	103	S1	L	plan
0.05402426000855209	0.007426180875371008	100-0%	103	SPLa	L	plan
0.3449837189533146	0.05741451943437533	75-25%	103	SPLa	L	plan
0.5176016494274188	0.08576542902621694	50-50%	103	SPLa	L	plan
1.6653418306065844	0.2586182835704416	25-75%	103	SPLa	L	plan
0.2511405205821776	0.03850542245634252	0-100%	103	SPLa	L	plan
0.11095512772298169	0.01675612250986406	plan	103	SPLa	L	plan
5.376480562399281	0.40957024533051845	exec	103	SPLa	L	plan
-0.04159207247549865	-0.013204275458990136	100-0%	103	SPLp	L	plan
-0.19231240766960514	-0.03273442561349631	75-25%	103	SPLp	L	plan
1.0721760292275548	0.1879943347796018	50-50%	103	SPLp	L	plan
0.68355543759471	0.12575387978433042	25-75%	103	SPLp	L	plan
-0.3563414440071517	-0.06274341804353013	0-100%	103	SPLp	L	plan
-0.5324379555856492	-0.12365170441868409	plan	103	SPLp	L	plan
6.997048150530735	0.6389760988992695	exec	103	SPLp	L	plan
0.2952142006833235	0.09176746789655038	100-0%	103	SMA	R	plan
0.8360638361366401	0.19364552127036813	75-25%	103	SMA	R	plan
0.3598107528802136	0.1095291046663348	50-50%	103	SMA	R	plan
0.6717416403005863	0.16577057679215895	25-75%	103	SMA	R	plan
1.2698540345206857	0.26335049696362994	0-100%	103	SMA	R	plan
0.9537382074931219	0.18394572482140764	plan	103	SMA	R	plan
6.14236257922675	0.5757833686141811	exec	103	SMA	R	plan
-0.6204051275172845	-0.12362328310664711	100-0%	103	PMd	R	plan
0.026957349922897705	-0.009123595516818265	75-25%	103	PMd	R	plan
-0.11970041298492422	-0.023808907854605255	50-50%	103	PMd	R	plan
0.8160286264643709	0.14615985069053716	25-75%	103	PMd	R	plan
-0.11613547995303433	-0.032213433437356526	0-100%	103	PMd	R	plan
1.6713046811310102	0.25404496726501324	plan	103	PMd	R	plan
0.44025584547417174	0.06781819878837113	exec	103	PMd	R	plan
-3.037925332727369	-0.39451934437931324	100-0%	103	PMv	R	plan
-2.449702838249135	-0.33796684807783184	75-25%	103	PMv	R	plan
-2.092065335760477	-0.26508237591781564	50-50%	103	PMv	R	plan
-2.8414498468309395	-0.4005496822979434	25-75%	103	PMv	R	plan
-2.727864362704124	-0.3549620347390402	0-100%	103	PMv	R	plan
0.16279334195941272	-0.03886443913911029	plan	103	PMv	R	plan
0.8965166239585314	0.13059024362906163	exec	103	PMv	R	plan
-2.6611245399361234	-0.4380326832887595	100-0%	103	M1	R	plan
-1.234763730414367	-0.18402876446423866	75-25%	103	M1	R	plan
-1.9357446780752228	-0.3150509468122028	50-50%	103	M1	R	plan
-1.14903485926376	-0.17221048545790205	25-75%	103	M1	R	plan
-1.38018718800521	-0.217582640179055	0-100%	103	M1	R	plan
-0.8417886549613668	-0.08447527383606834	plan	103	M1	R	plan
2.3461395259946585	0.1669793716358507	exec	103	M1	R	plan
-4.631713516551806	-0.6993540169860686	100-0%	103	S1	R	plan
-4.0281108409664865	-0.6029038397948694	75-25%	103	S1	R	plan
-3.564414100735137	-0.5270475225117528	50-50%	103	S1	R	plan
-3.477748416575896	-0.522224475355929	25-75%	103	S1	R	plan
-4.165641368162251	-0.6333184733536332	0-100%	103	S1	R	plan
-1.2290781535347794	-0.17937598175419994	plan	103	S1	R	plan
0.5559082119431138	0.0357649421395553	exec	103	S1	R	plan
-1.6055582169891824	-0.21828674919821692	100-0%	103	SPLa	R	plan
-0.9253438631221386	-0.11968126571964788	75-25%	103	SPLa	R	plan
-0.612890075432654	-0.07151739617670344	50-50%	103	SPLa	R	plan
0.238022018311694	0.05137230712474747	25-75%	103	SPLa	R	plan
-0.4851842523664591	-0.05494153166425118	0-100%	103	SPLa	R	plan
-0.8981834467797661	-0.13909946839811882	plan	103	SPLa	R	plan
3.135896257860797	0.24526265165166367	exec	103	SPLa	R	plan
-2.3216723740956904	-0.44180067677385765	100-0%	103	SPLp	R	plan
-2.0093291607030173	-0.37416784897942945	75-25%	103	SPLp	R	plan
-0.5183607107420548	-0.09405580564144646	50-50%	103	SPLp	R	plan
0.2527113516944833	0.03466254795748436	25-75%	103	SPLp	R	plan
-1.009076538284752	-0.2060654970589706	0-100%	103	SPLp	R	plan
-2.4384929603393113	-0.4426098033853621	plan	103	SPLp	R	plan
5.675761694319155	0.5164486149783993	exec	103	SPLp	R	plan
0.531634829044342	0.11767746066365257	100-0%	104	SMA	L	plan
0.7633842001329841	0.18522507417624418	75-25%	104	SMA	L	plan
0.7092665944373501	0.16526351391504118	50-50%	104	SMA	L	plan
0.4593369483947754	0.10692242598507021	25-75%	104	SMA	L	plan
0.9628410694937088	0.22267781050233837	0-100%	104	SMA	L	plan
0.998673520273396	0.22218759994913956	plan	104	SMA	L	plan
2.4392021962446826	0.24908461273168878	exec	104	SMA	L	plan
1.3060304260246025	0.2376354998845843	100-0%	104	PMd	L	plan
0.8008513408091483	0.15112993811356515	75-25%	104	PMd	L	plan
1.0819051834790454	0.20026604953990365	50-50%	104	PMd	L	plan
1.5598398948636276	0.26659456338748133	25-75%	104	PMd	L	plan
1.1153747380551722	0.19240708932885153	0-100%	104	PMd	L	plan
2.828505625312052	0.5090299351412545	plan	104	PMd	L	plan
2.1050563714582076	0.18293824950167428	exec	104	PMd	L	plan
-0.5224311378430904	-0.08063143271491771	100-0%	104	PMv	L	plan
-1.6465444045146806	-0.2898026983865409	75-25%	104	PMv	L	plan
-1.093319749445044	-0.18015782681234438	50-50%	104	PMv	L	plan
-1.151038385564819	-0.20841221425307951	25-75%	104	PMv	L	plan
-1.7007407788661129	-0.3328042222840333	0-100%	104	PMv	L	plan
-0.5801552304170603	-0.08722176561588604	plan	104	PMv	L	plan
4.062202226538248	0.46803485595840305	exec	104	PMv	L	plan
-2.4572711865023256	-0.43380583205021706	100-0%	104	M1	L	plan
-3.0225265721328145	-0.5348963711996566	75-25%	104	M1	L	plan
-2.733412981454243	-0.47171359540798513	50-50%	104	M1	L	plan
-2.280784928089909	-0.41295568340622035	25-75%	104	M1	L	plan
-2.44758245851712	-0.4219911047166339	0-100%	104	M1	L	plan
-0.29980460906175904	-0.05364722036839433	plan	104	M1	L	plan
6.484689309534342	0.5582875364739283	exec	104	M1	L	plan
-2.8121148822849955	-0.46426076937922683	100-0%	104	S1	L	plan
-3.8915693154604827	-0.6573268302608	75-25%	104	S1	L	plan
-3.4890682429817477	-0.5776474892619926	50-50%	104	S1	L	plan
-2.7006431803001725	-0.4613596373142778	25-75%	104	S1	L	plan
-3.7680296806934375	-0.6475510735417014	0-100%	104	S1	L	plan
-1.434890243541875	-0.25163807586837833	plan	104	S1	L	plan
9.762791220128735	0.8712006114826649	exec	104	S1	L	plan
0.13985866905642672	0.027766730281722697	100-0%	104	SPLa	L	plan
-1.0393521555877343	-0.1655260841495735	75-25%	104	SPLa	L	plan
-0.5823638783788851	-0.09244984766212229	50-50%	104	SPLa	L	plan
0.19225504518971992	0.030699956765283334	25-75%	104	SPLa	L	plan
-0.6617607857152616	-0.12356878071197863	0-100%	104	SPLa	L	plan
1.150613134982638	0.17327668700769355	plan	104	SPLa	L	plan
4.0876267002802935	0.3802627741145615	exec	104	SPLa	L	plan
0.5704507524884315	0.10697112572649332	100-0%	104	SPLp	L	plan
0.01724969297305942	0.03696920210330333	75-25%	104	SPLp	L	plan
-0.1589495918808258	-0.01060006643934851	50-50%	104	SPLp	L	plan
0.7486164469559448	0.13596238971998675	25-75%	104	SPLp	L	plan
-0.12151117427168084	-0.03755041669558606	0-100%	104	SPLp	L	plan
0.8876900135767896	0.179063284688276	plan	104	SPLp	L	plan
5.737913920527562	0.5275685509122091	exec	104	SPLp	L	plan
1.9446383035909902	0.5031051917692012	100-0%	104	SMA	R	plan
1.6459185423109577	0.42759725634952905	75-25%	104	SMA	R	plan
1.4666965151994695	0.363492251479248	50-50%	104	SMA	R	plan
1.4280752076673606	0.3631748486608962	25-75%	104	SMA	R	plan
2.13934166340235	0.5488889172330447	0-100%	104	SMA	R	plan
2.2308023700195916	0.5793432324453534	plan	104	SMA	R	plan
0.9551544993650168	0.11175211362877033	exec	104	SMA	R	plan
0.18221335024484692	0.006894308874117476	100-0%	104	PMd	R	plan
-0.08444525212356985	-0.06289223784264762	75-25%	104	PMd	R	plan
0.04157105623579021	-0.027495391620597588	50-50%	104	PMd	R	plan
0.157043775218348	-0.0010690278626621275	25-75%	104	PMd	R	plan
-0.06179599072821993	-0.06007597830243391	0-100%	104	PMd	R	plan
1.069988563188507	0.24729361063492805	plan	104	PMd	R	plan
0.24175584029216643	0.057979636576100044	exec	104	PMd	R	plan
0.309882376066935	0.0894367062158501	100-0%	104	PMv	R	plan
-0.4272594835039571	-0.09437592362355718	75-25%	104	PMv	R	plan
-0.123059217500178	-0.0326164846035491	50-50%	104	PMv	R	plan
-0.11745505197948687	-0.015927896757299703	25-75%	104	PMv	R	plan
-0.5448310846780858	-0.16062444457354166	0-100%	104	PMv	R	plan
-0.050211662954172925	-0.014397669384069226	plan	104	PMv	R	plan
2.981939908162486	0.35473207457212685	exec	104	PMv	R	plan
-2.354917875866251	-0.5961454197984031	100-0%	104	M1	R	plan
-2.5902783734712616	-0.6611597553930794	75-25%	104	M1	R	plan
-2.886834082195558	-0.7355134174805549	50-50%	104	M1	R	plan
-3.062517133283477	-0.7959792335883094	25-75%	104	M1	R	plan
-3.2298458988381444	-0.8361999332785337	0-100%	104	M1	R	plan
-2.760744159626454	-0.7099709337375029	plan	104	M1	R	plan
3.5276695172781283	0.4613290521804515	exec	104	M1	R	plan
-2.6681855701060746	-0.6934541109976067	100-0%	104	S1	R	plan
-3.0069207059681387	-0.7787971704932204	75-25%	104	S1	R	plan
-2.80308183011059	-0.7094367570527993	50-50%	104	S1	R	plan
-3.244791281609699	-0.8432458143041686	25-75%	104	S1	R	plan
-3.7350646276970214	-0.9818563865650276	0-100%	104	S1	R	plan
-2.455257312834715	-0.6151171779411015	plan	104	S1	R	plan
2.3238165398177815	0.282664359749333	exec	104	S1	R	plan
-0.37047504733033876	-0.08832494613713995	100-0%	104	SPLa	R	plan
-0.5334973065109807	-0.12448354358969764	75-25%	104	SPLa	R	plan
-0.6304773316556488	-0.1421979259991533	50-50%	104	SPLa	R	plan
-0.46721061447325546	-0.10355765611112419	25-75%	104	SPLa	R	plan
-0.7283674447530107	-0.16736742792980772	0-100%	104	SPLa	R	plan
1.234754808609328	0.2512958279192438	plan	104	SPLa	R	plan
-0.3111775126161384	-0.009531878037878557	exec	104	SPLa	R	plan
0.4375364190888998	0.09835733644367921	100-0%	104	SPLp	R	plan
-0.01159882351623284	0.00980949356472964	75-25%	104	SPLp	R	plan
-0.435756801440656	-0.09333745339552504	50-50%	104	SPLp	R	plan
0.777877845141453	0.1474693732569404	25-75%	104	SPLp	R	plan
0.20880511599555152	0.020248105849429817	0-100%	104	SPLp	R	plan
0.8507312380898954	0.141974839431883	plan	104	SPLp	R	plan
3.76893714644137	0.4160165170706023	exec	104	SPLp	R	plan
2.4855792523777227	0.8558253370617673	100-0%	105	SMA	L	plan
2.6919753618028937	0.9504237460053239	75-25%	105	SMA	L	plan
3.330862355164351	1.1407227752197497	50-50%	105	SMA	L	plan
2.381717519093787	0.8242697754635456	25-75%	105	SMA	L	plan
3.1049354032866923	1.0967239118991385	0-100%	105	SMA	L	plan
6.286220308121462	2.1538696497592333	plan	105	SMA	L	plan
1.1451815816076867	0.3077800195683783	exec	105	SMA	L	plan
2.977786471810651	0.8708639677621197	100-0%	105	PMd	L	plan
3.080951555600566	0.8982934862737935	75-25%	105	PMd	L	plan
3.848212011485948	1.129170654393257	50-50%	105	PMd	L	plan
2.5997242685118445	0.7454450366963568	25-75%	105	PMd	L	plan
3.3617092948953817	0.9716166409293355	0-100%	105	PMd	L	plan
7.612666367144934	2.400372751776941	plan	105	PMd	L	plan
0.18235300898747542	-0.1402315350594789	exec	105	PMd	L	plan
2.6951194166026173	0.8445592002294942	100-0%	105	PMv	L	plan
2.314517604551795	0.7065616709863027	75-25%	105	PMv	L	plan
2.626650996136188	0.8009923471329151	50-50%	105	PMv	L	plan
2.1587738490336346	0.6677185512914711	25-75%	105	PMv	L	plan
3.0546608505548907	0.9732072304607139	0-100%	105	PMv	L	plan
7.751976950591048	2.5588231151574963	plan	105	PMv	L	plan
-3.341913950776113	-0.513576232476496	exec	105	PMv	L	plan
0.13871320487350852	0.059657737010837056	100-0%	105	M1	L	plan
-0.100904623461873	-0.02149107071137444	75-25%	105	M1	L	plan
0.752829484873047	0.20846092624431314	50-50%	105	M1	L	plan
-0.2520367669397484	-0.07478162630890313	25-75%	105	M1	L	plan
0.4986409704498306	0.15547080528539522	0-100%	105	M1	L	plan
6.3827956582118635	2.0277085776483537	plan	105	M1	L	plan
2.8577692181532615	0.31568060711784784	exec	105	M1	L	plan
-0.049379270631352924	-0.05018491255571544	100-0%	105	S1	L	plan
-0.27901610934707866	-0.12036630825579925	75-25%	105	S1	L	plan
0.45301839329363447	0.042354751741463616	50-50%	105	S1	L	plan
-0.5158887902883351	-0.19627415042242766	25-75%	105	S1	L	plan
0.04948627260611976	-0.05437811653588063	0-100%	105	S1	L	plan
0.5102419533207369	0.11086999641246184	plan	105	S1	L	plan
16.667581114039073	2.280638071107113	exec	105	S1	L	plan
3.0965879726077326	0.7799312644156147	100-0%	105	SPLa	L	plan
3.154959062059487	0.7869264920969541	75-25%	105	SPLa	L	plan
