r_indiv	r_group	SNR	corr	glm	ci_lo	ci_hi	sigma2_1	sigma2_2	sigma2_e	Hem	roi	participant_id
-0.715584029335575	-0.8178643437179808	0.0502412238772264	cue-finger	12	-1.0	-0.6851485107020341	0.1013526142485018	0.11833822305707883	2.179815764905482	L	M1	106
-0.9999994548412816	-0.8178643437179808	0.02719184085485535	cue-finger	12	-1.0	-0.6851485107020341	0.14210269625783148	0.03293625348277867	2.515936336965691	L	M1	107
-0.9999999674074498	-0.8178643437179808	0.02330884748488519	cue-finger	12	-1.0	-0.6851485107020341	0.15942440803501512	0.019364151515132533	2.3837233046219053	L	M1	108
-0.9999999434772897	-0.8178643437179808	0.04603705684987118	cue-finger	12	-1.0	-0.6851485107020341	0.21463872939000841	0.07235771931889495	2.707004188894847	L	M1	109
-0.6473277893619478	-0.8178643437179808	0.09550658352676905	cue-finger	12	-1.0	-0.6851485107020341	0.18128057698981112	0.5787147625464132	3.3913655810741377	L	M1	110
-0.9999999969702739	-0.8178643437179808	0.029443529005150366	cue-finger	12	-1.0	-0.6851485107020341	0.13676327345835762	0.0349128452115371	2.346861730700264	L	M1	111
-0.999999724343363	-0.8178643437179808	0.03010410007661101	cue-finger	12	-1.0	-0.6851485107020341	0.1642232663625599	0.05107314624566891	3.0422016678165	L	M1	112
-0.4629800226035255	-0.8178643437179808	0.056742073635855	cue-finger	12	-1.0	-0.6851485107020341	0.19979962888447098	0.15855112657164086	3.1367275740494507	L	M1	113
-0.5681737828764776	-0.8178643437179808	0.05850872728669705	cue-finger	12	-1.0	-0.6851485107020341	0.14061905331212785	0.18962684258677578	2.790945401631521	L	M1	114
-0.999998458223491	-0.8178643437179808	0.027355103055498084	cue-finger	12	-1.0	-0.6851485107020341	0.0988195391489449	0.01819838730699212	1.5502420350921327	L	M1	115
-0.9999999999979026	-0.6089706204180413	0.031239178266604654	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.3117872757194569	0.03334996812407355	3.264204083996442	L	S1	102
-0.6065191482469721	-0.6089706204180413	0.06673764575936963	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.21146691496598286	0.2208954985792333	3.238498985276936	L	S1	103
-0.5385399806245025	-0.6089706204180413	0.11662149841514634	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.17831918871223462	0.49015730801515367	2.5350595388422628	L	S1	104
-0.9999999872608974	-0.6089706204180413	0.03377077506494222	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.14091967550045387	0.03046849294670224	1.940306219504755	L	S1	105
-0.6503512075092761	-0.6089706204180413	0.05524554194707326	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.17976862825264467	0.11741551763029794	2.62979843448751	L	S1	106
-0.768087025993888	-0.6089706204180413	0.04023469491140292	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.14658690480142642	0.0931286822181616	2.903946451025023	L	S1	107
-0.9999996306937795	-0.6089706204180413	0.025223343109812744	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.19089479448900085	0.028452737232883323	2.921839943314219	L	S1	108
-0.7795981777989787	-0.6089706204180413	0.05458797997464044	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.278306340246081	0.14791849773118837	3.716856295584434	L	S1	109
-0.555975654732785	-0.6089706204180413	0.1292464748030238	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.28142164303256456	1.1067985283888755	4.318116221170474	L	S1	110
-0.9511150244289616	-0.6089706204180413	0.06554625257167221	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.12314341629727919	0.17911534741645832	2.2658133518558263	L	S1	111
-0.599993507932544	-0.6089706204180413	0.03406700551723089	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.22386423757079255	0.0696568388974248	3.665559557309218	L	S1	112
-0.32067453906828836	-0.6089706204180413	0.11583503841073019	cue-finger	12	-0.8718550954046442	-0.529313504985398	0.36844266682604027	0.5771505304598935	3.9809760160078578	L	S1	113
