BN	TN	stimFinger	cue	MD	Unexpected	RT	thumb0	index0	middle0	ring0	pinkie0	thumb1	index1	middle1	ring1	pinkie1	GoNogo	sn
2	13	ring	25-75%	0.8577179258684463	0	0.1599999999999999	-0.0984106666666666	0.0129253333333333	0.5524373333333333	0.3422493333333333	0.3349546666666667	-0.15239	1.3908900000000002	5.7528	14.39189	3.30889	go	108
2	14	nogo	50-50%	0.0109015103930804	-1	-1.05	0.0059586666666666	0.0945693333333333	0.468468	0.5088413333333333	0.3489973333333333	0.0239199999999999	0.08305	0.49752	0.5534399999999998	0.4148599999999999	nogo	108
2	15	index	75-25%	0.3458001327854652	0	0.202	0.1427719999999999	0.2416386666666667	0.3761226666666666	0.27676	0.289716	0.77252	12.45555	1.6695399999999998	1.23529	0.23265	go	108
2	16	nogo	100-0%	0.0103706655634382	-1	-1.05	0.2227706666666666	0.5793626666666667	1.2443013333333333	0.026212	0.1857013333333333	0.2392899999999999	0.62853	1.2253699999999998	0.00348	0.13685	nogo	108
2	17	index	25-75%	0.5724512632910198	1	0.1539999999999999	0.3106386666666667	0.364984	0.0680266666666666	0.1518946666666666	0.2956266666666666	0.66125	16.13906	2.7026300000000005	1.93087	-0.0937299999999999	go	108
2	18	ring	75-25%	0.7711333487136488	1	0.15	0.1325186666666666	0.488256	1.0294279999999998	-0.1141199999999999	0.0406306666666666	0.5200800000000001	1.6238799999999998	5.249039999999999	13.720800000000002	1.61592	go	108
2	19	ring	0-100%	0.029107079799584	0	-1.05	0.0021906666666666	0.2256826666666666	1.1502746666666668	1.0623626666666666	0.1818773333333333	0.10452	0.14117	1.4260300000000004	3.89504	0.0899499999999999	go	108
2	20	index	100-0%	0.4081908057777496	0	0.1639999999999999	0.0792959999999999	0.507368	0.7614093333333334	0.3316039999999999	0.2430186666666667	0.4651600000000001	17.753330000000002	1.68082	1.5557000000000003	0.08442	go	108
2	21	index	50-50%	0.1977055794499344	0	0.15	0.2141186666666666	0.3317933333333333	0.8197693333333333	-0.2676706666666666	0.0247293333333333	0.6209100000000001	19.60346	2.44485	1.22189	-0.22577	go	108
2	22	index	50-50%	0.6408912910740212	0	0.1599999999999999	0.1737999999999999	0.5908239999999999	1.1632893333333334	-0.2750599999999999	-0.018304	0.16213	19.063150000000004	3.53284	2.68523	-0.3369600000000001	go	108
2	23	nogo	0-100%	0.019531187146859	-1	-1.05	0.1546333333333333	0.2520133333333333	1.4305106666666665	0.4686346666666666	0.1019466666666666	0.18684	0.2825	1.1268000000000002	0.25223	0.2460599999999999	nogo	108
2	24	nogo	100-0%	0.0139135376434529	-1	-1.05	0.0419893333333333	0.37772	1.0538373333333333	0.1089773333333333	0.1586053333333333	0.02503	0.5429800000000001	1.01991	0.0738699999999999	0.13053	nogo	108
2	25	ring	25-75%	0.3976324838870225	0	0.1619999999999999	0.0827759999999999	0.1842333333333333	0.9688253333333332	0.1092279999999999	0.2042439999999999	0.80452	0.5060300000000001	5.347919999999999	14.388069999999995	2.94513	go	108
2	26	ring	25-75%	0.4390467138344451	0	0.2	0.1043146666666666	0.3291693333333333	0.7923	0.6821266666666667	0.2049946666666667	0.6817000000000002	0.95657	6.624979999999999	13.979140000000005	4.47742	go	108
2	27	nogo	0-100%	0.0242697657551182	-1	-1.05	0.2827759999999999	-0.0781093333333333	1.1794186666666668	0.5157146666666667	0.0296586666666666	0.28664	-0.0962799999999999	1.35026	0.65896	0.03622	nogo	108
2	28	nogo	75-25%	0.0162231741151192	-1	-1.05	0.2304613333333333	0.2549066666666666	1.0569986666666666	0.0852186666666666	0.0898786666666666	0.2131599999999999	0.2842099999999999	1.05187	0.0900199999999999	0.1056699999999999	nogo	108
2	29	index	75-25%	0.3594025652429071	0	0.174	0.39142	0.208984	1.0039146666666665	0.452664	0.3077813333333333	1.2689	16.81741	3.45665	1.92947	0.08724	go	108
2	30	index	100-0%	0.199762159455369	0	0.142	0.1576973333333333	0.2607946666666667	1.2177786666666666	-0.2203439999999999	0.097092	1.02319	16.29054	2.1761600000000003	0.8670499999999999	-0.01713	go	108
3	1	ring	0-100%	0.3308186207220944	0	0.1679999999999999	0.0906453333333333	0.0534586666666666	0.1213773333333333	0.2106093333333333	0.1386399999999999	1.3868299999999996	0.4323999999999999	5.001790000000001	13.92009	2.44078	go	108
3	2	nogo	75-25%	0.0121200381088784	-1	-1.05	0.0689213333333333	-0.123076	0.384212	0.5801733333333333	0.391052	0.06774	-0.11499	0.3869799999999999	0.5245700000000001	0.33641	nogo	108
3	3	ring	75-25%	0.4808356027018809	1	0.1619999999999999	0.2255466666666667	0.141336	-0.154076	0.0368866666666666	0.3013093333333333	0.6558599999999999	1.1784400000000002	4.4384500000000005	14.49945	3.133260000000001	go	108
