con	condition	sn	roi	Hem	epoch
-3.0407284318075556	25-75%	102	SPLp	R	plan
-5.339877518404356	50-50%	102	SPLp	R	plan
0.3982655830554194	75-25%	102	SPLp	R	plan
5.651547373789666	100-0%	102	SPLp	R	plan
6.745427373615637	0-100%,ring	102	SPLp	R	exec
18.877354101286556	25-75%,index	102	SPLp	R	exec
-0.6354740304022934	50-50%,index	102	SPLp	R	exec
-0.1326118345683462	75-25%,index	102	SPLp	R	exec
13.277111810143756	25-75%,ring	102	SPLp	R	exec
19.220748708515035	50-50%,ring	102	SPLp	R	exec
29.23295637928219	75-25%,ring	102	SPLp	R	exec
1.0681877880363948	100-0%,index	102	SPLp	R	exec
4.870265951447321	0-100%	102	V1	R	plan
-1.1373922210601277	25-75%	102	V1	R	plan
-1.0652708722734487	50-50%	102	V1	R	plan
-5.144089754969625	75-25%	102	V1	R	plan
3.884256002302364	100-0%	102	V1	R	plan
3.3943083979652555	0-100%,ring	102	V1	R	exec
5.671776496840273	25-75%,index	102	V1	R	exec
-4.765159360601275	50-50%,index	102	V1	R	exec
7.754942157809678	75-25%,index	102	V1	R	exec
14.811245027332012	25-75%,ring	102	V1	R	exec
14.41464509990235	50-50%,ring	102	V1	R	exec
27.148424363202622	75-25%,ring	102	V1	R	exec
-1.7158624216205143	100-0%,index	102	V1	R	exec
2.4568402817012767	0-100%	103	SMA	L	plan
2.916943400062576	25-75%	103	SMA	L	plan
1.4393803513911834	50-50%	103	SMA	L	plan
1.707024990493454	75-25%	103	SMA	L	plan
3.107893690437707	100-0%	103	SMA	L	plan
3.9403653131910117	0-100%,ring	103	SMA	L	exec
1.7914821979387787	25-75%,index	103	SMA	L	exec
4.019448032611645	50-50%,index	103	SMA	L	exec
3.9864158128733265	75-25%,index	103	SMA	L	exec
4.146730790919546	25-75%,ring	103	SMA	L	exec
3.1595064191484306	50-50%,ring	103	SMA	L	exec
4.478564478203385	75-25%,ring	103	SMA	L	exec
0.9849287538929472	100-0%,index	103	SMA	L	exec
5.944053250075928	0-100%	103	PMd	L	plan
6.633946971614731	25-75%	103	PMd	L	plan
5.080390118204917	50-50%	103	PMd	L	plan
4.924741569975589	75-25%	103	PMd	L	plan
5.903209557550131	100-0%	103	PMd	L	plan
3.986964106857162	0-100%,ring	103	PMd	L	exec
-0.1946915749853513	25-75%,index	103	PMd	L	exec
3.562678271059835	50-50%,index	103	PMd	L	exec
3.3675879590671283	75-25%,index	103	PMd	L	exec
4.63014537906323	25-75%,ring	103	PMd	L	exec
5.244445011329682	50-50%,ring	103	PMd	L	exec
7.598086981677396	75-25%,ring	103	PMd	L	exec
-1.2635279506950385	100-0%,index	103	PMd	L	exec
-1.6336853146659582	0-100%	103	PMv	L	plan
-1.0938516676102634	25-75%	103	PMv	L	plan
-2.4429884347440107	50-50%	103	PMv	L	plan
-1.933863283799965	75-25%	103	PMv	L	plan
-1.2359669438583494	100-0%	103	PMv	L	plan
4.154205513463211	0-100%,ring	103	PMv	L	exec
2.0921993010996105	25-75%,index	103	PMv	L	exec
6.5817328619328	50-50%,index	103	PMv	L	exec
5.740909495244456	75-25%,index	103	PMv	L	exec
4.5907832825720805	25-75%,ring	103	PMv	L	exec
4.609185992363525	50-50%,ring	103	PMv	L	exec
4.645257369988034	75-25%,ring	103	PMv	L	exec
1.969727889144209	100-0%,index	103	PMv	L	exec
2.677099435310215	0-100%	103	M1	L	plan
2.3146593814719716	25-75%	103	M1	L	plan
-0.5303976635879545	50-50%	103	M1	L	plan
0.05705967347330249	75-25%	103	M1	L	plan
0.49479229075472747	100-0%	103	M1	L	plan
10.409830566420197	0-100%,ring	103	M1	L	exec
2.764652336897976	25-75%,index	103	M1	L	exec
8.88283612289186	50-50%,index	103	M1	L	exec
6.6128788503057665	75-25%,index	103	M1	L	exec
10.93016421236346	25-75%,ring	103	M1	L	exec
11.600540457217932	50-50%,ring	103	M1	L	exec
13.348378422568793	75-25%,ring	103	M1	L	exec
4.099202487454899	100-0%,index	103	M1	L	exec
-1.701706560834266	0-100%	103	S1	L	plan
-0.8068492037710814	25-75%	103	S1	L	plan
-2.123927417652217	50-50%	103	S1	L	plan
-2.2920364007782577	75-25%	103	S1	L	plan
-0.518719812487774	100-0%	103	S1	L	plan
18.745336402214086	0-100%,ring	103	S1	L	exec
7.955393340475825	25-75%,index	103	S1	L	exec
13.64577336813591	50-50%,index	103	S1	L	exec
12.18113917841347	75-25%,index	103	S1	L	exec
18.108338323704775	25-75%,ring	103	S1	L	exec
17.97434184340243	50-50%,ring	103	S1	L	exec
20.48892937950607	75-25%,ring	103	S1	L	exec
8.40097674131264	100-0%,index	103	S1	L	exec
1.476930919863433	0-100%	103	SPLa	L	plan
3.5674155035829918	25-75%	103	SPLa	L	plan
2.4484130598548113	50-50%	103	SPLa	L	plan
2.080930489978052	75-25%	103	SPLa	L	plan
1.9555186932995399	100-0%	103	SPLa	L	plan
6.128244064631114	0-100%,ring	103	SPLa	L	exec
2.0256842094445258	25-75%,index	103	SPLa	L	exec
4.400773354529235	50-50%,index	103	SPLa	L	exec
3.8516356521106303	75-25%,index	103	SPLa	L	exec
5.700960988327336	25-75%,ring	103	SPLa	L	exec
5.909468966492284	50-50%,ring	103	SPLa	L	exec
8.668170341038005	75-25%,ring	103	SPLa	L	exec
1.4012581655056642	100-0%,index	103	SPLa	L	exec
1.513309619877258	0-100%	103	SPLp	L	plan
1.8263960374731252	25-75%	103	SPLp	L	plan
2.531134063651766	50-50%	103	SPLp	L	plan
1.2369608678605306	75-25%	103	SPLp	L	plan
1.975693905025831	100-0%	103	SPLp	L	plan
5.383549520411193	0-100%,ring	103	SPLp	L	exec
6.6536826378537075	25-75%,index	103	SPLp	L	exec
8.022015011332305	50-50%,index	103	SPLp	L	exec
5.32864570786812	75-25%,index	103	SPLp	L	exec
6.002890066602044	25-75%,ring	103	SPLp	L	exec
6.104192907330913	50-50%,ring	103	SPLp	L	exec
8.767904730063362	75-25%,ring	103	SPLp	L	exec
3.358928673187935	100-0%,index	103	SPLp	L	exec
-5.640924706932047	0-100%	103	V1	L	plan
-5.472626837688917	25-75%	103	V1	L	plan
-3.818865520060388	50-50%	103	V1	L	plan
-5.634858557811939	75-25%	103	V1	L	plan
-4.943446164182759	100-0%	103	V1	L	plan
6.6918446604196395	0-100%,ring	103	V1	L	exec
5.618048829200481	25-75%,index	103	V1	L	exec
6.921404738211121	50-50%,index	103	V1	L	exec
5.4906315443669245	75-25%,index	103	V1	L	exec
6.241984269732359	25-75%,ring	103	V1	L	exec
3.708453902840896	50-50%,ring	103	V1	L	exec
6.846279164720783	75-25%,ring	103	V1	L	exec
3.415077308892015	100-0%,index	103	V1	L	exec
5.43070618421305	0-100%	103	SMA	R	plan
3.008856018985911	25-75%	103	SMA	R	plan
2.9451635292166007	50-50%	103	SMA	R	plan
3.4768923288953073	75-25%	103	SMA	R	plan
5.135429227967458	100-0%	103	SMA	R	plan
5.441929656355803	0-100%,ring	103	SMA	R	exec
3.3901280285037476	25-75%,index	103	SMA	R	exec
6.729013674952861	50-50%,index	103	SMA	R	exec
5.09205143844773	75-25%,index	103	SMA	R	exec
7.380223722310158	25-75%,ring	103	SMA	R	exec
5.391714133451981	50-50%,ring	103	SMA	R	exec
7.901411512916715	75-25%,ring	103	SMA	R	exec
1.7232064502043971	100-0%,index	103	SMA	R	exec
2.0675236636653858	0-100%	103	PMd	R	plan
2.59746920872374	25-75%	103	PMd	R	plan
1.6992646805251166	50-50%	103	PMd	R	plan
1.970142554328942	75-25%	103	PMd	R	plan
2.1423979315536874	100-0%	103	PMd	R	plan
3.299588215514747	0-100%,ring	103	PMd	R	exec
-1.4468945293829294	25-75%,index	103	PMd	R	exec
1.8197116216538962	50-50%,index	103	PMd	R	exec
1.3638556388127518	75-25%,index	103	PMd	R	exec
3.649429303740072	25-75%,ring	103	PMd	R	exec
3.6496147930120113	50-50%,ring	103	PMd	R	exec
4.904142432934638	75-25%,ring	103	PMd	R	exec
-0.9331024414876224	100-0%,index	103	PMd	R	exec
-1.5289041179247083	0-100%	103	PMv	R	plan
-2.870476139206735	25-75%	103	PMv	R	plan
-1.4413818295191352	50-50%	103	PMv	R	plan
-1.5829449963741122	75-25%	103	PMv	R	plan
-1.595741877221458	100-0%	103	PMv	R	plan
2.6868503302139866	0-100%,ring	103	PMv	R	exec
1.3740835790240598	25-75%,index	103	PMv	R	exec
4.25860288390328	50-50%,index	103	PMv	R	exec
2.7394340686677467	75-25%,index	103	PMv	R	exec
4.584479891994436	25-75%,ring	103	PMv	R	exec
2.425581134013122	50-50%,ring	103	PMv	R	exec
4.482383469306302	75-25%,ring	103	PMv	R	exec
0.19958248186028665	100-0%,index	103	PMv	R	exec
-0.21131761475344715	0-100%	103	M1	R	plan
-1.270760404847839	25-75%	103	M1	R	plan
-2.853465353621278	50-50%	103	M1	R	plan
-1.9923698597682113	75-25%	103	M1	R	plan
-2.350547152598375	100-0%	103	M1	R	plan
3.220297006691934	0-100%,ring	103	M1	R	exec
-1.811587065607613	25-75%,index	103	M1	R	exec
4.109235823084432	50-50%,index	103	M1	R	exec
0.6730804809485562	75-25%,index	103	M1	R	exec
3.9772388137559798	25-75%,ring	103	M1	R	exec
3.3315810789677873	50-50%,ring	103	M1	R	exec
5.2431150403526905	75-25%,ring	103	M1	R	exec
-0.23597891033505616	100-0%,index	103	M1	R	exec
-4.744618273574917	0-100%	103	S1	R	plan
-5.256159455707514	25-75%	103	S1	R	plan
-4.511454773552914	50-50%	103	S1	R	plan
-5.237472877526992	75-25%	103	S1	R	plan
-4.924572884256667	100-0%	103	S1	R	plan
4.272247683502073	0-100%,ring	103	S1	R	exec
-2.0549532601248734	25-75%,index	103	S1	R	exec
3.036954850856877	50-50%,index	103	S1	R	exec
1.3842759569432488	75-25%,index	103	S1	R	exec
5.105929238664961	25-75%,ring	103	S1	R	exec
2.3687820684128056	50-50%,ring	103	S1	R	exec
5.1710024421435365	75-25%,ring	103	S1	R	exec
-1.4716520470637047	100-0%,index	103	S1	R	exec
-0.9860847373387562	0-100%	103	SPLa	R	plan
0.6824671438938458	25-75%	103	SPLa	R	plan
-0.626942384601776	50-50%	103	SPLa	R	plan
-1.5063052963603096	75-25%	103	SPLa	R	plan
-1.5903241990430501	100-0%	103	SPLa	R	plan
5.24343318174592	0-100%,ring	103	SPLa	R	exec
-2.4747763318796414	25-75%,index	103	SPLa	R	exec
1.1464747301881735	50-50%,index	103	SPLa	R	exec
0.9970918927129128	75-25%,index	103	SPLa	R	exec
4.647686125490819	25-75%,ring	103	SPLa	R	exec
4.244282781846901	50-50%,ring	103	SPLa	R	exec
6.9705106581586795	75-25%,ring	103	SPLa	R	exec
-1.1886983178877877	100-0%,index	103	SPLa	R	exec
-1.8746182816628265	0-100%	103	SPLp	R	plan
-0.44974175093385943	25-75%	103	SPLp	R	plan
-2.0555697711889422	50-50%	103	SPLp	R	plan
-3.714320883171999	75-25%	103	SPLp	R	plan
-3.0411150737504213	100-0%	103	SPLp	R	plan
5.147415177063568	0-100%,ring	103	SPLp	R	exec
2.698786051656297	25-75%,index	103	SPLp	R	exec
4.523281342518089	50-50%,index	103	SPLp	R	exec
2.643230228858395	75-25%,index	103	SPLp	R	exec
5.353072109093956	25-75%,ring	103	SPLp	R	exec
4.61371220078496	50-50%,ring	103	SPLp	R	exec
6.800749677598534	75-25%,ring	103	SPLp	R	exec
1.2711071006207442	100-0%,index	103	SPLp	R	exec
-5.109721929207036	0-100%	103	V1	R	plan
-4.272331847111953	25-75%	103	V1	R	plan
-3.780502961849191	50-50%	103	V1	R	plan
-5.457081055485957	75-25%	103	V1	R	plan
-4.022686580082414	100-0%	103	V1	R	plan
6.176208052992035	0-100%,ring	103	V1	R	exec
2.995707640431514	25-75%,index	103	V1	R	exec
4.956732792415166	50-50%,index	103	V1	R	exec
2.818209625837047	75-25%,index	103	V1	R	exec
6.043149835472944	25-75%,ring	103	V1	R	exec
4.16623985577673	50-50%,ring	103	V1	R	exec
6.574682465202731	75-25%,ring	103	V1	R	exec
1.3174375331143586	100-0%,index	103	V1	R	exec
3.424290462838752	0-100%	104	SMA	L	plan
3.3628916104273605	25-75%	104	SMA	L	plan
3.288138021679329	50-50%	104	SMA	L	plan
3.712905060770256	75-25%	104	SMA	L	plan
3.7604443898911786	100-0%	104	SMA	L	plan
4.724162177386028	0-100%,ring	104	SMA	L	exec
3.736207570150894	25-75%,index	104	SMA	L	exec
2.236526840960873	50-50%,index	104	SMA	L	exec
4.098331780523594	75-25%,index	104	SMA	L	exec
4.13154643346795	25-75%,ring	104	SMA	L	exec
4.52949049280371	50-50%,ring	104	SMA	L	exec
3.0357243521362545	75-25%,ring	104	SMA	L	exec
2.9010975380114146	100-0%,index	104	SMA	L	exec
7.0257017036851135	0-100%	104	PMd	L	plan
7.859446995377339	25-75%	104	PMd	L	plan
6.779329732769714	50-50%	104	PMd	L	plan
7.054532769032615	75-25%	104	PMd	L	plan
6.775240013201881	100-0%	104	PMd	L	plan
5.405400612508181	0-100%,ring	104	PMd	L	exec
5.872927918391273	25-75%,index	104	PMd	L	exec
2.794302719013479	50-50%,index	104	PMd	L	exec
6.2044286597795315	75-25%,index	104	PMd	L	exec
5.073972740093435	25-75%,ring	104	PMd	L	exec
3.5383075060744447	50-50%,ring	104	PMd	L	exec
6.067664506939622	75-25%,ring	104	PMd	L	exec
4.190387715988331	100-0%,index	104	PMd	L	exec
-1.3084973837385672	0-100%	104	PMv	L	plan
0.07471520273555289	25-75%	104	PMv	L	plan
-1.047435014769289	50-50%	104	PMv	L	plan
-1.2794633049321034	75-25%	104	PMv	L	plan
0.0927592881243501	100-0%	104	PMv	L	plan
7.136430577838919	0-100%,ring	104	PMv	L	exec
7.977021042804312	25-75%,index	104	PMv	L	exec
4.086631419720336	50-50%,index	104	PMv	L	exec
7.41042392523941	75-25%,index	104	PMv	L	exec
6.764471332345307	25-75%,ring	104	PMv	L	exec
6.027960005928917	50-50%,ring	104	PMv	L	exec
4.928476790441911	75-25%,ring	104	PMv	L	exec
